file,distance_to_goal,source_split,source_problem,source_plan_len,num_objects,init_applicable_actions,branch_tier,state_applicable_actions
000_d05_t1_le20_000_p-VAL-c3s3p6-11.pddl,5,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,16
001_d05_t1_le20_001_p-VAL-c4s2p6-21.pddl,5,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,18
002_d05_t1_le20_015_p-VAL-c4s2p6-5.pddl,5,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,19
003_d05_t1_le20_028_p-VAL-c3s3p6-27.pddl,5,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,16
004_d05_t1_le20_042_p-VAL-c3s3p6-13.pddl,5,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
005_d05_t1_le20_073_p-VAL-c4s2p7-30.pddl,5,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,21
006_d05_t1_le20_084_p-VAL-c3s3p6-1.pddl,5,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,17
007_d05_t1_le20_085_p-VAL-c4s2p6-30.pddl,5,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,17
008_d05_t1_le20_099_p-VAL-c4s2p6-29.pddl,5,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,16
009_d05_t1_le20_115_p-VAL-c4s2p7-15.pddl,5,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,22
010_d05_t2_21_40_003_p-VAL-c4s2p7-18.pddl,5,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,22
011_d05_t2_21_40_008_p-VAL-c4s3p8-22.pddl,5,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,27
012_d05_t2_21_40_017_p-VAL-c4s2p7-28.pddl,5,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
013_d05_t2_21_40_036_p-VAL-c4s3p8-13.pddl,5,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
014_d05_t2_21_40_045_p-VAL-c4s2p7-17.pddl,5,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,22
015_d05_t2_21_40_050_p-VAL-c4s3p8-23.pddl,5,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
016_d05_t2_21_40_064_p-VAL-c4s3p8-2.pddl,5,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
017_d05_t2_21_40_087_p-VAL-c4s2p7-6.pddl,5,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,26
030_d06_t1_le20_000_p-VAL-c3s3p6-11.pddl,6,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,17
031_d06_t1_le20_001_p-VAL-c4s2p6-21.pddl,6,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,19
032_d06_t1_le20_015_p-VAL-c4s2p6-5.pddl,6,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,18
033_d06_t1_le20_028_p-VAL-c3s3p6-27.pddl,6,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
034_d06_t1_le20_042_p-VAL-c3s3p6-13.pddl,6,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
035_d06_t1_le20_073_p-VAL-c4s2p7-30.pddl,6,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,19
036_d06_t1_le20_084_p-VAL-c3s3p6-1.pddl,6,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,17
037_d06_t1_le20_085_p-VAL-c4s2p6-30.pddl,6,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,17
038_d06_t1_le20_099_p-VAL-c4s2p6-29.pddl,6,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,17
039_d06_t1_le20_115_p-VAL-c4s2p7-15.pddl,6,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,22
040_d06_t2_21_40_003_p-VAL-c4s2p7-18.pddl,6,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,21
041_d06_t2_21_40_008_p-VAL-c4s3p8-22.pddl,6,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,26
042_d06_t2_21_40_017_p-VAL-c4s2p7-28.pddl,6,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
043_d06_t2_21_40_036_p-VAL-c4s3p8-13.pddl,6,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
044_d06_t2_21_40_045_p-VAL-c4s2p7-17.pddl,6,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,23
045_d06_t2_21_40_050_p-VAL-c4s3p8-23.pddl,6,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,30
046_d06_t2_21_40_064_p-VAL-c4s3p8-2.pddl,6,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,27
047_d06_t2_21_40_087_p-VAL-c4s2p7-6.pddl,6,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,25
060_d07_t1_le20_000_p-VAL-c3s3p6-11.pddl,7,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,16
061_d07_t1_le20_001_p-VAL-c4s2p6-21.pddl,7,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,18
062_d07_t1_le20_015_p-VAL-c4s2p6-5.pddl,7,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,19
063_d07_t1_le20_028_p-VAL-c3s3p6-27.pddl,7,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
064_d07_t1_le20_042_p-VAL-c3s3p6-13.pddl,7,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
065_d07_t1_le20_073_p-VAL-c4s2p7-30.pddl,7,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,19
066_d07_t1_le20_084_p-VAL-c3s3p6-1.pddl,7,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,15
067_d07_t1_le20_085_p-VAL-c4s2p6-30.pddl,7,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,17
068_d07_t1_le20_099_p-VAL-c4s2p6-29.pddl,7,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,17
069_d07_t1_le20_115_p-VAL-c4s2p7-15.pddl,7,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,22
070_d07_t2_21_40_003_p-VAL-c4s2p7-18.pddl,7,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,21
071_d07_t2_21_40_008_p-VAL-c4s3p8-22.pddl,7,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,27
072_d07_t2_21_40_017_p-VAL-c4s2p7-28.pddl,7,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
