Problem,Solved,Solution Length,Simulations,Expanded,Generated
000_grid_x-1_y-7_t-2_k-4_l-2,True,22,28,28,58
001_p-1-1-100-1-3-3-5,True,6,7,7,18
002_p-1-1-100-1-3-3-2,True,10,12,12,27
003_p-1-1-100-1-3-3-3,True,5,6,6,13
004_p-1-1-100-1-3-3-28,True,5,6,6,14
005_p-1-1-100-1-3-3-11,True,5,6,6,16
006_p-1-1-50-1-3-3-11,True,5,6,6,16
007_p-1-1-100-1-3-3-6,True,4,5,5,13
008_p-1-1-100-1-3-3-7,True,7,9,9,24
009_p-1-1-50-1-3-3-8,True,8,12,12,27
010_p-1-1-100-1-3-3-15,True,4,5,5,11
011_p-1-1-100-1-3-3-22,True,8,9,9,20
012_p-1-1-100-1-3-3-13,True,7,8,8,20
013_p-1-1-50-1-3-3-6,True,4,5,5,13
014_p-1-1-100-1-3-3-23,True,7,8,8,20
015_p-1-1-50-1-3-3-7,True,7,9,9,24
016_p-1-1-100-1-3-3-27,True,4,5,5,11
017_p-1-1-100-1-3-3-8,True,8,12,12,27
018_p-1-1-100-1-3-3-9,True,5,6,6,15
019_p-1-1-100-1-3-3-12,True,7,8,8,21
020_p-1-1-50-1-3-3-12,True,7,8,8,21
021_p-1-1-50-1-3-3-9,True,5,6,6,15
022_p-1-1-100-1-3-3-16,True,7,8,8,20
023_p-02-02-50-2-3-3-21,True,8,9,9,26
024_p-20-20-50-2-3-3-2,True,8,8,8,18
025_p-20-20-50-2-3-3-23,True,8,11,11,23
026_p-20-20-50-2-3-3-13,True,4,5,5,14
027_p-02-02-50-2-3-3-14,True,11,11,11,34
028_p-20-20-50-2-3-3-22,True,7,8,8,19
029_p-20-20-50-2-3-3-11,True,7,8,8,21
030_p-20-20-50-2-3-3-10,True,7,8,8,17
031_p-2-2-50-1-3-3-8,True,5,6,6,19
032_p-2-2-50-1-3-3-29,True,5,6,6,16
033_p-2-2-50-1-3-3-10,True,7,8,8,17
034_p-02-02-50-2-3-3-10,True,7,8,8,17
035_p-20-20-50-2-3-3-15,True,10,11,11,29
036_p-02-02-50-2-3-3-29,True,5,6,6,16
037_p-02-02-50-2-3-3-2,True,8,8,8,18
038_p-20-20-50-2-3-3-27,True,6,7,7,21
039_p-2-2-50-1-3-3-14,True,11,11,11,34
040_p-20-20-50-2-3-3-14,True,11,11,11,34
041_p-2-2-50-1-3-3-9,True,5,6,6,12
042_p-02-02-50-2-3-3-23,True,8,11,11,23
043_p-2-2-50-1-3-3-15,True,10,11,11,29
044_p-2-2-50-1-3-3-22,True,7,8,8,19
045_p-02-02-50-2-3-3-0,True,19,20,20,47
046_p-02-02-100-2-3-3-2,True,11,16,16,42
047_p-20-20-100-2-3-3-2,True,11,16,16,42
048_p-2-2-100-1-3-3-27,True,9,12,12,37
049_p-20-20-100-2-3-3-11,True,17,18,18,47
050_p-20-20-100-2-3-3-6,True,14,15,15,39
051_p-20-20-100-2-3-3-15,True,12,13,13,36
052_p-02-02-100-2-3-3-13,True,10,13,13,41
053_p-02-02-100-2-3-3-29,False,,20000,10,21
054_p-20-20-100-2-3-3-14,False,,20000,12,23
055_p-02-02-100-2-3-3-26,True,10,10,10,23
056_p-2-2-100-1-3-3-5,True,15,16,16,40
057_p-02-02-100-2-3-3-1,True,19,20,20,47
058_p-2-2-100-1-3-3-21,True,16,23,23,59
059_p-20-20-100-2-3-3-21,True,16,23,23,59
060_p-2-2-100-1-3-3-12,True,16,24,24,65
061_p-2-2-100-1-3-3-0,True,19,20,20,47
062_p-02-02-100-2-3-3-21,True,16,23,23,59
063_p-20-20-50-2-3-3-6,True,14,15,15,39
064_p-2-2-100-1-3-3-9,True,10,11,11,27
065_p-2-2-100-1-3-3-20,True,11,13,13,37
066_p-2-2-100-1-3-3-13,True,10,13,13,41
067_p-11-11-50-2-3-3-29,True,5,6,6,14
068_p-11-11-50-2-3-3-8,True,12,13,13,33
069_p-11-11-50-2-3-3-23,True,8,11,11,23
070_p-11-11-50-2-3-3-21,True,8,11,11,29
071_p-11-11-50-2-3-3-9,True,5,6,6,11
072_p-11-11-50-2-3-3-2,True,8,8,8,18
073_p-11-11-50-2-3-3-10,True,25,27,27,61
074_p-11-11-50-2-3-3-11,True,7,8,8,21
075_p-11-11-50-2-3-3-22,True,7,8,8,19
076_p-11-11-50-2-3-3-13,True,4,5,5,13
077_p-11-11-50-2-3-3-27,True,6,7,7,20
078_p-11-11-100-2-3-3-12,True,16,17,17,40
079_p-11-11-100-2-3-3-26,True,10,10,10,21
080_p-11-11-100-2-3-3-21,True,16,23,23,57
081_p-11-11-100-2-3-3-9,True,10,11,11,26
082_p-11-11-100-2-3-3-4,True,11,11,11,17
083_p-11-11-100-2-3-3-16,True,15,20,20,51
084_p-11-11-100-2-3-3-17,True,14,15,15,29
085_p-11-11-100-2-3-3-27,True,9,12,12,37
086_p-11-11-100-2-3-3-19,True,15,17,17,48
087_p-11-11-100-2-3-3-18,True,18,19,19,43
088_p-11-11-50-2-3-3-6,True,14,15,15,36
089_p-11-11-100-2-3-3-20,True,11,13,13,35
090_p-11-11-100-2-3-3-11,True,20,21,21,53
091_p-11-11-100-2-3-3-0,True,23,34,34,69
